,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
63,cityblock,190,distance,"{'metric': 'cityblock', 'n_neighbors': 190, 'weights': 'distance'}",0.948748217052007,0.004145953052333043,205
64,cityblock,196,uniform,"{'metric': 'cityblock', 'n_neighbors': 196, 'weights': 'uniform'}",0.9552938011193393,0.0027990568578434303,49
65,cityblock,196,distance,"{'metric': 'cityblock', 'n_neighbors': 196, 'weights': 'distance'}",0.9487840488142151,0.004146121953444921,196
66,cityblock,202,uniform,"{'metric': 'cityblock', 'n_neighbors': 202, 'weights': 'uniform'}",0.9553612234380056,0.002725029228120737,25
67,cityblock,202,distance,"{'metric': 'cityblock', 'n_neighbors': 202, 'weights': 'distance'}",0.9487157779209806,0.004122798852362935,208
68,cityblock,208,uniform,"{'metric': 'cityblock', 'n_neighbors': 208, 'weights': 'uniform'}",0.9553549888261728,0.0027243428557599315,28
69,cityblock,208,distance,"{'metric': 'cityblock', 'n_neighbors': 208, 'weights': 'distance'}",0.9487516096831887,0.004123250613313692,202
70,cityblock,214,uniform,"{'metric': 'cityblock', 'n_neighbors': 214, 'weights': 'uniform'}",0.955393381628468,0.002686358031530161,13
71,cityblock,214,distance,"{'metric': 'cityblock', 'n_neighbors': 214, 'weights': 'distance'}",0.9488234738067819,0.0040508490876592865,187
72,cityblock,220,uniform,"{'metric': 'cityblock', 'n_neighbors': 220, 'weights': 'uniform'}",0.955428612347642,0.002724186078167643,1
73,cityblock,220,distance,"{'metric': 'cityblock', 'n_neighbors': 220, 'weights': 'distance'}",0.9488627643614789,0.004052113324472212,181
74,cityblock,226,uniform,"{'metric': 'cityblock', 'n_neighbors': 226, 'weights': 'uniform'}",0.9553674038061635,0.0027946146190858025,19
75,cityblock,226,distance,"{'metric': 'cityblock', 'n_neighbors': 226, 'weights': 'distance'}",0.9488661336763343,0.004013198458792312,178
76,cityblock,232,uniform,"{'metric': 'cityblock', 'n_neighbors': 232, 'weights': 'uniform'}",0.955370290025772,0.002839015095095218,16
77,cityblock,232,distance,"{'metric': 'cityblock', 'n_neighbors': 232, 'weights': 'distance'}",0.9488340243674361,0.0040889203278498525,184
78,cityblock,238,uniform,"{'metric': 'cityblock', 'n_neighbors': 238, 'weights': 'uniform'}",0.9553061811036653,0.0028321451901917403,43
79,cityblock,238,distance,"{'metric': 'cityblock', 'n_neighbors': 238, 'weights': 'distance'}",0.9488052916210383,0.004018651409734761,190
80,cityblock,245,uniform,"{'metric': 'cityblock', 'n_neighbors': 245, 'weights': 'uniform'}",0.9553148084597582,0.0026896829006257915,40
81,cityblock,245,distance,"{'metric': 'cityblock', 'n_neighbors': 245, 'weights': 'distance'}",0.9489480261726045,0.004099006063290285,172
82,cityblock,251,uniform,"{'metric': 'cityblock', 'n_neighbors': 251, 'weights': 'uniform'}",0.9554149827784688,0.002716550642158439,7
83,cityblock,251,distance,"{'metric': 'cityblock', 'n_neighbors': 251, 'weights': 'distance'}",0.9489480261726045,0.004099006063290285,172
84,cityblock,257,uniform,"{'metric': 'cityblock', 'n_neighbors': 257, 'weights': 'uniform'}",0.9552534284041732,0.002601467896241774,61
85,cityblock,257,distance,"{'metric': 'cityblock', 'n_neighbors': 257, 'weights': 'distance'}",0.9489839875347739,0.004039979915290532,169
86,cityblock,263,uniform,"{'metric': 'cityblock', 'n_neighbors': 263, 'weights': 'uniform'}",0.9552212307817181,0.002603590131341375,67
87,cityblock,263,distance,"{'metric': 'cityblock', 'n_neighbors': 263, 'weights': 'distance'}",0.9490594004543447,0.004060061948675437,160
88,cityblock,269,uniform,"{'metric': 'cityblock', 'n_neighbors': 269, 'weights': 'uniform'}",0.9551245534440824,0.0025662466552077838,79
89,cityblock,269,distance,"{'metric': 'cityblock', 'n_neighbors': 269, 'weights': 'distance'}",0.9490305083658855,0.004096429759725673,163
90,cityblock,275,uniform,"{'metric': 'cityblock', 'n_neighbors': 275, 'weights': 'uniform'}",0.9551627371985265,0.002526171350424489,73
91,cityblock,275,distance,"{'metric': 'cityblock', 'n_neighbors': 275, 'weights': 'distance'}",0.9490305083658855,0.004096429759725673,163
92,cityblock,281,uniform,"{'metric': 'cityblock', 'n_neighbors': 281, 'weights': 'uniform'}",0.9551278801477207,0.002562709956314235,76
93,cityblock,281,distance,"{'metric': 'cityblock', 'n_neighbors': 281, 'weights': 'distance'}",0.9490662779672301,0.004099126952232512,151
94,cityblock,287,uniform,"{'metric': 'cityblock', 'n_neighbors': 287, 'weights': 'uniform'}",0.9552338529946509,0.0026801820390166416,64
95,cityblock,287,distance,"{'metric': 'cityblock', 'n_neighbors': 287, 'weights': 'distance'}",0.9490662779672301,0.004099126952232512,151
96,cityblock,293,uniform,"{'metric': 'cityblock', 'n_neighbors': 293, 'weights': 'uniform'}",0.9550435350961219,0.0026076619458407237,82
97,cityblock,293,distance,"{'metric': 'cityblock', 'n_neighbors': 293, 'weights': 'distance'}",0.9490662779672301,0.004099126952232512,151
98,cityblock,300,uniform,"{'metric': 'cityblock', 'n_neighbors': 300, 'weights': 'uniform'}",0.9551752769666727,0.0026555368125971315,70
99,cityblock,300,distance,"{'metric': 'cityblock', 'n_neighbors': 300, 'weights': 'distance'}",0.9490695411327434,0.004160109936673199,148
100,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.9264135608655583,0.0031681874879030065,295
101,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.9264135608655583,0.0031681874879030065,295
102,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9531215709847057,0.002981903650815539,145
103,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9413614838243962,0.003298500471830666,292
104,euclidean,13,uniform,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.9540981941418863,0.003250342337641214,142
105,euclidean,13,distance,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}",0.9438194789783363,0.003889510907708631,289
106,euclidean,19,uniform,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}",0.9543391416495147,0.002840921473577855,136
107,euclidean,19,distance,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}",0.9449517127785004,0.003905807983898036,286
108,euclidean,25,uniform,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'uniform'}",0.9548717938850946,0.003103427780402561,109
