,param_activation,param_hidden_layer_sizes,param_learning_rate_init,param_max_iter,params,mean_test_score,std_test_score,rank_test_score
14,logistic,4,10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': 4, 'learning_rate_init': 10, 'max_iter': 1000}",0.9382297912143229,0.02844393873598262,54
15,logistic,"(2, 2)",0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9551754809148031,0.0027718178705207516,16
16,logistic,"(2, 2)",0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9551067473174175,0.0026849117461102945,22
17,logistic,"(2, 2)",0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9541884735649161,0.0041005377374621075,28
18,logistic,"(2, 2)",1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 1, 'max_iter': 1000}",0.8980037933965457,0.11517871474261697,58
19,logistic,"(2, 2)",10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (2, 2), 'learning_rate_init': 10, 'max_iter': 1000}",0.4006057076295866,0.32709319057968966,72
20,logistic,"(4, 4)",0.001,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9552882906575133,0.002622891708742525,8
21,logistic,"(4, 4)",0.01,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9552073004185484,0.0025542989602717024,13
22,logistic,"(4, 4)",0.1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.955348214119786,0.00227497007536367,5
23,logistic,"(4, 4)",1,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 1, 'max_iter': 1000}",0.9539830233475431,0.003888138658677237,29
24,logistic,"(4, 4)",10,1000,"{'activation': 'logistic', 'hidden_layer_sizes': (4, 4), 'learning_rate_init': 10, 'max_iter': 1000}",0.13353523587652885,0.2670704717530577,74
25,tanh,(),0.001,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (), 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9403872572211279,0.0016858891619159584,48
26,tanh,(),0.01,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (), 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9402715470487047,0.0026913479548758387,51
27,tanh,(),0.1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (), 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9387252443414196,0.0071013644551870475,53
28,tanh,(),1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (), 'learning_rate_init': 1, 'max_iter': 1000}",0.9445737350434078,0.012718198934221756,43
29,tanh,(),10,1000,"{'activation': 'tanh', 'hidden_layer_sizes': (), 'learning_rate_init': 10, 'max_iter': 1000}",0.9375439855918218,0.015183964905168478,55
30,tanh,2,0.001,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9551092828724294,0.0027529371649804937,21
31,tanh,2,0.01,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9553397033636231,0.0023572346399327654,6
32,tanh,2,0.1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 2, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9551437103978818,0.0027278138093698094,19
33,tanh,2,1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 2, 'learning_rate_init': 1, 'max_iter': 1000}",0.8943055463923791,0.11335831109846006,61
34,tanh,2,10,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 2, 'learning_rate_init': 10, 'max_iter': 1000}",0.7582270178268828,0.37915357789698845,65
35,tanh,4,0.001,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.001, 'max_iter': 1000}",0.9552139239012073,0.0027258662659288904,12
36,tanh,4,0.01,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.01, 'max_iter': 1000}",0.9554568383713182,0.0027522957784813745,1
37,tanh,4,0.1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 4, 'learning_rate_init': 0.1, 'max_iter': 1000}",0.9547416563901068,0.0026255719761954103,24
38,tanh,4,1,1000,"{'activation': 'tanh', 'hidden_layer_sizes': 4, 'learning_rate_init': 1, 'max_iter': 1000}",0.9530141597997364,0.0036951568135616874,34
