,param_metric,param_n_neighbors,param_weights,params,mean_test_score,std_test_score,rank_test_score
75,cityblock,226,distance,"{'metric': 'cityblock', 'n_neighbors': 226, 'weights': 'distance'}",0.975848590959135,0.0009755680659962896,161
76,cityblock,232,uniform,"{'metric': 'cityblock', 'n_neighbors': 232, 'weights': 'uniform'}",0.9691679778784008,0.0014405128403710058,263
77,cityblock,232,distance,"{'metric': 'cityblock', 'n_neighbors': 232, 'weights': 'distance'}",0.9756149564627759,0.0010118713465697552,165
78,cityblock,238,uniform,"{'metric': 'cityblock', 'n_neighbors': 238, 'weights': 'uniform'}",0.9685934353904351,0.0012137272680804389,270
79,cityblock,238,distance,"{'metric': 'cityblock', 'n_neighbors': 238, 'weights': 'distance'}",0.9755164464672974,0.0009350204310216635,166
80,cityblock,245,uniform,"{'metric': 'cityblock', 'n_neighbors': 245, 'weights': 'uniform'}",0.9684326876655082,0.0011724996999462293,271
81,cityblock,245,distance,"{'metric': 'cityblock', 'n_neighbors': 245, 'weights': 'distance'}",0.9753497526490879,0.0009880672626327667,171
82,cityblock,251,uniform,"{'metric': 'cityblock', 'n_neighbors': 251, 'weights': 'uniform'}",0.9680717773434019,0.001107679685007631,274
83,cityblock,251,distance,"{'metric': 'cityblock', 'n_neighbors': 251, 'weights': 'distance'}",0.9751145769399928,0.000866116040619153,175
84,cityblock,257,uniform,"{'metric': 'cityblock', 'n_neighbors': 257, 'weights': 'uniform'}",0.9677759719970496,0.0012918808368016406,277
85,cityblock,257,distance,"{'metric': 'cityblock', 'n_neighbors': 257, 'weights': 'distance'}",0.9747814709927212,0.00103443788082881,184
86,cityblock,263,uniform,"{'metric': 'cityblock', 'n_neighbors': 263, 'weights': 'uniform'}",0.9674157838211501,0.0011958954146624467,282
87,cityblock,263,distance,"{'metric': 'cityblock', 'n_neighbors': 263, 'weights': 'distance'}",0.9746151336126658,0.0011524476459005006,188
88,cityblock,269,uniform,"{'metric': 'cityblock', 'n_neighbors': 269, 'weights': 'uniform'}",0.9672842240559802,0.0013577065888760497,283
89,cityblock,269,distance,"{'metric': 'cityblock', 'n_neighbors': 269, 'weights': 'distance'}",0.9744468884805471,0.0012406753679433382,193
90,cityblock,275,uniform,"{'metric': 'cityblock', 'n_neighbors': 275, 'weights': 'uniform'}",0.9669201948807251,0.0013920385003133643,286
91,cityblock,275,distance,"{'metric': 'cityblock', 'n_neighbors': 275, 'weights': 'distance'}",0.9742438038787578,0.0012650474644405722,198
92,cityblock,281,uniform,"{'metric': 'cityblock', 'n_neighbors': 281, 'weights': 'uniform'}",0.9667579139766944,0.001328479088595937,291
93,cityblock,281,distance,"{'metric': 'cityblock', 'n_neighbors': 281, 'weights': 'distance'}",0.9741771009660283,0.0012211001199213865,201
94,cityblock,287,uniform,"{'metric': 'cityblock', 'n_neighbors': 287, 'weights': 'uniform'}",0.9666316978173871,0.001512235801869798,292
95,cityblock,287,distance,"{'metric': 'cityblock', 'n_neighbors': 287, 'weights': 'distance'}",0.974075533657366,0.0012675938410372865,208
96,cityblock,293,uniform,"{'metric': 'cityblock', 'n_neighbors': 293, 'weights': 'uniform'}",0.9663340850101312,0.0015698665331315808,295
97,cityblock,293,distance,"{'metric': 'cityblock', 'n_neighbors': 293, 'weights': 'distance'}",0.9739092346635406,0.0013557052129836598,209
98,cityblock,300,uniform,"{'metric': 'cityblock', 'n_neighbors': 300, 'weights': 'uniform'}",0.9659686428981505,0.0016026084549457295,300
99,cityblock,300,distance,"{'metric': 'cityblock', 'n_neighbors': 300, 'weights': 'distance'}",0.9738759488240541,0.001310899343725161,210
100,euclidean,1,uniform,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.9892715755918593,0.001721207170782757,3
101,euclidean,1,distance,"{'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.9892715755918593,0.001721207170782757,3
102,euclidean,7,uniform,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'uniform'}",0.9884750551520043,0.0011971253377907054,10
103,euclidean,7,distance,"{'metric': 'euclidean', 'n_neighbors': 7, 'weights': 'distance'}",0.9893302067001513,0.0013413111251422533,1
104,euclidean,13,uniform,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'uniform'}",0.9862944032505689,0.0013332170270326745,19
105,euclidean,13,distance,"{'metric': 'euclidean', 'n_neighbors': 13, 'weights': 'distance'}",0.9882769747730439,0.001024051654568778,12
106,euclidean,19,uniform,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'uniform'}",0.9840042399728064,0.0018857104474451635,30
107,euclidean,19,distance,"{'metric': 'euclidean', 'n_neighbors': 19, 'weights': 'distance'}",0.9870168495435083,0.0015911452014672498,16
108,euclidean,25,uniform,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'uniform'}",0.982807533183005,0.0015997017982592367,42
109,euclidean,25,distance,"{'metric': 'euclidean', 'n_neighbors': 25, 'weights': 'distance'}",0.9858854051766516,0.0016186204266993688,21
110,euclidean,31,uniform,"{'metric': 'euclidean', 'n_neighbors': 31, 'weights': 'uniform'}",0.9820918713097339,0.0015913208386838377,49
111,euclidean,31,distance,"{'metric': 'euclidean', 'n_neighbors': 31, 'weights': 'distance'}",0.9854063102638169,0.0016679667625481185,23
